Year,Month,Day,Hour,BEBE
2023,1,1,0,0.701025075
2023,1,1,1,0.6990969
2023,1,1,2,0.698893775
2023,1,1,3,0.698595875
2023,1,1,4,0.69871855
2023,1,1,5,0.69741945
2023,1,1,6,0.696530975
2023,1,1,7,0.6961452
2023,1,1,8,0.6962566
2023,1,1,9,0.6968818
2023,1,1,10,0.696068425
2023,1,1,11,0.69567005
2023,1,1,12,0.6951982
2023,1,1,13,0.69472635
2023,1,1,14,0.694806075
2023,1,1,15,0.694889
2023,1,1,16,0.694284775
2023,1,1,17,0.693677875
2023,1,1,18,0.691354825
2023,1,1,19,0.688273575
2023,1,1,20,0.68703685
2023,1,1,21,0.6874111
2023,1,1,22,0.68526345
2023,1,1,23,0.683690725
2023,1,2,0,0.68425085
2023,1,2,1,0.682217075
2023,1,2,2,0.679107567
2023,1,2,3,0.6798131
2023,1,2,4,0.6778688
2023,1,2,5,0.676128375
2023,1,2,6,0.676184425
2023,1,2,7,0.673480825
2023,1,2,8,0.6730879
2023,1,2,9,0.669792
2023,1,2,10,0.670466625
2023,1,2,11,0.6703029
2023,1,2,12,0.670274625
2023,1,2,13,0.6667707
2023,1,2,14,0.6655023
2023,1,2,15,0.666134775
2023,1,2,16,0.699159175
2023,1,2,17,0.7143525
2023,1,2,18,0.71391265
2023,1,2,19,0.715035275
2023,1,2,20,0.71294665
2023,1,2,21,0.71285595
2023,1,2,22,0.7127847
2023,1,2,23,0.71395785
2023,1,3,0,0.71431465
2023,1,3,1,0.711985825
2023,1,3,2,0.71448205
2023,1,3,3,0.713985525
2023,1,3,4,0.71280625
2023,1,3,5,0.71306795
2023,1,3,6,0.713010075
2023,1,3,7,0.713218525
2023,1,3,8,0.71453765
2023,1,3,9,0.71473725
2023,1,3,10,0.71400315
2023,1,3,11,0.713955025
2023,1,3,12,0.713506525
2023,1,3,13,0.714158575
2023,1,3,14,0.714847525
2023,1,3,15,0.71479235
2023,1,3,16,0.71510755
2023,1,3,17,0.715463875
2023,1,3,18,0.71430525
2023,1,3,19,0.713742425
2023,1,3,20,0.7152093
2023,1,3,21,0.715125025
2023,1,3,22,0.7157015
2023,1,3,23,0.7158613
2023,1,4,0,0.71718665
2023,1,4,1,0.717363
2023,1,4,2,0.71610795
2023,1,4,3,0.717606725
2023,1,4,4,0.7168864
2023,1,4,5,0.7180944
2023,1,4,6,0.718998675
2023,1,4,7,0.7174941
2023,1,4,8,0.720319825
2023,1,4,9,0.717618075
2023,1,4,10,0.71865645
2023,1,4,11,0.71834605
2023,1,4,12,0.719945875
2023,1,4,13,0.718627475
2023,1,4,14,0.719875275
2023,1,4,15,0.717761675
2023,1,4,16,0.718580025
2023,1,4,17,0.71866185
2023,1,4,18,0.718439175
2023,1,4,19,0.719366
2023,1,4,20,0.71663415
2023,1,4,21,0.717810025
2023,1,4,22,0.7172257
2023,1,4,23,0.7178978
2023,1,5,0,0.718140875
2023,1,5,1,0.717706325
2023,1,5,2,0.71809295
2023,1,5,3,0.717077525
2023,1,5,4,0.71767825
2023,1,5,5,0.71842335
2023,1,5,6,0.718245425
2023,1,5,7,0.719012125
2023,1,5,8,0.71816975
2023,1,5,9,0.71810135
2023,1,5,10,0.718861975
2023,1,5,11,0.718925725
2023,1,5,12,0.7186447
2023,1,5,13,0.718589825
2023,1,5,14,0.718822525
2023,1,5,15,0.71821165
2023,1,5,16,0.7193682
2023,1,5,17,0.7191984
2023,1,5,18,0.71799105
2023,1,5,19,0.7182958
2023,1,5,20,0.7182762
2023,1,5,21,0.71856215
2023,1,5,22,0.71856165
2023,1,5,23,0.71738895
2023,1,6,0,0.717955425
2023,1,6,1,0.718735
2023,1,6,2,0.716850075
2023,1,6,3,0.716552425
2023,1,6,4,0.716326525
2023,1,6,5,0.716717625
2023,1,6,6,0.7167822
2023,1,6,7,0.717465925
2023,1,6,8,0.71696725
2023,1,6,9,0.716869075
2023,1,6,10,0.71655455
2023,1,6,11,0.71696485
2023,1,6,12,0.7168638
2023,1,6,13,0.715757075
2023,1,6,14,0.71674545
2023,1,6,15,0.717207075
2023,1,6,16,0.716630125
2023,1,6,17,0.71644165
2023,1,6,18,0.71655535
2023,1,6,19,0.715903
2023,1,6,20,0.7171278
2023,1,6,21,0.7166238
2023,1,6,22,0.717287925
2023,1,6,23,0.71594165
2023,1,7,0,0.716318525
2023,1,7,1,0.71528215
2023,1,7,2,0.716730025
2023,1,7,3,0.71593345
2023,1,7,4,0.7169388
2023,1,7,5,0.71795915
2023,1,7,6,0.71585065
2023,1,7,7,0.7165919
2023,1,7,8,0.715916025
2023,1,7,9,0.716324175
2023,1,7,10,0.71791085
2023,1,7,11,0.71608615
2023,1,7,12,0.71588565
2023,1,7,13,0.716767075
2023,1,7,14,0.71616515
2023,1,7,15,0.716095875
2023,1,7,16,0.71480265
2023,1,7,17,0.71536195
2023,1,7,18,0.715831675
2023,1,7,19,0.715756375
2023,1,7,20,0.7161225
2023,1,7,21,0.71477305
2023,1,7,22,0.715797475
2023,1,7,23,0.715473775
2023,1,8,0,0.71536165
2023,1,8,1,0.71566295
2023,1,8,2,0.7159787
2023,1,8,3,0.7163464
2023,1,8,4,0.716215225
2023,1,8,5,0.714815625
2023,1,8,6,0.714164
2023,1,8,7,0.716191975
2023,1,8,8,0.714010925
2023,1,8,9,0.71476025
2023,1,8,10,0.71363145
2023,1,8,11,0.715410775
2023,1,8,12,0.71457175
2023,1,8,13,0.716109575
2023,1,8,14,0.714144525
2023,1,8,15,0.715306575
2023,1,8,16,0.715747075
2023,1,8,17,0.7159575
2023,1,8,18,0.7146971
2023,1,8,19,0.715209675
2023,1,8,20,0.7143413
2023,1,8,21,0.714722725
2023,1,8,22,0.71494845
2023,1,8,23,0.714973175
2023,1,9,0,0.71430455
2023,1,9,1,0.7147893
2023,1,9,2,0.7154804
2023,1,9,3,0.71431315
2023,1,9,4,0.71499755
2023,1,9,5,0.714774575
2023,1,9,6,0.714664575
2023,1,9,7,0.715231375
2023,1,9,8,0.713823025
2023,1,9,9,0.715727325
2023,1,9,10,0.714368525
2023,1,9,11,0.714117775
2023,1,9,12,0.71527365
2023,1,9,13,0.713990075
2023,1,9,14,0.7144497
2023,1,9,15,0.7147764
2023,1,9,16,0.714056625
2023,1,9,17,0.714429075
2023,1,9,18,0.714776325
2023,1,9,19,0.7155473
2023,1,9,20,0.7147634
2023,1,9,21,0.713817175
2023,1,9,22,0.714224375
2023,1,9,23,0.714659275
2023,1,10,0,0.713435325
2023,1,10,1,0.715202725
2023,1,10,2,0.71425175
2023,1,10,3,0.7143216
2023,1,10,4,0.713038075
2023,1,10,5,0.714502925
2023,1,10,6,0.712171625
2023,1,10,7,0.71480475
2023,1,10,8,0.714177575
2023,1,10,9,0.71435765
2023,1,10,10,0.71448225
2023,1,10,11,0.714288675
2023,1,10,12,0.713429
