,Generator,Time,Value
0,Cornell_CEP,1,1.7771956005
1,Cornell_CEP,2,1.72745463
2,Cornell_CEP,3,1.704392739
3,Cornell_CEP,4,1.6555773479999998
4,Cornell_CEP,5,1.6584095549999998
5,Cornell_CEP,6,1.6460869079999998
6,Cornell_CEP,7,1.6526057159999998
7,Cornell_CEP,8,1.6329028095
8,Cornell_CEP,9,1.6551691455
9,Cornell_CEP,10,1.6699338555
10,Cornell_CEP,11,1.7191600875
11,Cornell_CEP,12,1.787555667
12,Cornell_CEP,13,1.8483336494999998
13,Cornell_CEP,14,1.8519180389999998
14,Cornell_CEP,15,1.8391848029999998
15,Cornell_CEP,16,1.8612180105
16,Cornell_CEP,17,1.863365523
17,Cornell_CEP,18,1.850124219
18,Cornell_CEP,19,1.8459766229999999
19,Cornell_CEP,20,1.865472633
20,Cornell_CEP,21,1.8545785274999997
21,Cornell_CEP,22,1.8456849494999998
22,Cornell_CEP,23,1.859778915
23,Cornell_CEP,24,1.8586389044999998
24,NYS_Grid,1,0.0
25,NYS_Grid,2,0.0
26,NYS_Grid,3,0.0
27,NYS_Grid,4,0.0
28,NYS_Grid,5,0.0
29,NYS_Grid,6,0.0
30,NYS_Grid,7,0.0
31,NYS_Grid,8,0.0
32,NYS_Grid,9,0.0
33,NYS_Grid,10,0.0
34,NYS_Grid,11,0.0
35,NYS_Grid,12,0.0
36,NYS_Grid,13,0.0
37,NYS_Grid,14,0.0
38,NYS_Grid,15,0.0
39,NYS_Grid,16,0.0
40,NYS_Grid,17,0.0
41,NYS_Grid,18,0.0
42,NYS_Grid,19,0.0
43,NYS_Grid,20,0.0
44,NYS_Grid,21,0.0
45,NYS_Grid,22,0.0
46,NYS_Grid,23,0.0
47,NYS_Grid,24,0.0
48,Cornell_CUBO,1,0.0
49,Cornell_CUBO,2,0.0
50,Cornell_CUBO,3,0.0
51,Cornell_CUBO,4,0.0
52,Cornell_CUBO,5,0.0
53,Cornell_CUBO,6,0.0
54,Cornell_CUBO,7,0.0
55,Cornell_CUBO,8,0.81645140475
56,Cornell_CUBO,9,0.82758457275
57,Cornell_CUBO,10,0.83496692775
58,Cornell_CUBO,11,0.85958004375
59,Cornell_CUBO,12,0.8937778335
60,Cornell_CUBO,13,0.9241668247499999
61,Cornell_CUBO,14,0.9259590194999999
62,Cornell_CUBO,15,0.9195924014999999
63,Cornell_CUBO,16,0.93060900525
64,Cornell_CUBO,17,0.9316827615
65,Cornell_CUBO,18,0.9250621095
66,Cornell_CUBO,19,0.0
67,Cornell_CUBO,20,0.0
68,Cornell_CUBO,21,0.0
69,Cornell_CUBO,22,0.0
70,Cornell_CUBO,23,0.0
71,Cornell_CUBO,24,0.0
72,Cornell_Hydrogen,1,0.0
73,Cornell_Hydrogen,2,0.0
74,Cornell_Hydrogen,3,0.0
75,Cornell_Hydrogen,4,0.0
76,Cornell_Hydrogen,5,0.0
77,Cornell_Hydrogen,6,0.0
78,Cornell_Hydrogen,7,0.0
79,Cornell_Hydrogen,8,0.0
80,Cornell_Hydrogen,9,0.0
81,Cornell_Hydrogen,10,0.0
82,Cornell_Hydrogen,11,0.0
83,Cornell_Hydrogen,12,0.0
84,Cornell_Hydrogen,13,0.0
85,Cornell_Hydrogen,14,0.0
86,Cornell_Hydrogen,15,0.0
87,Cornell_Hydrogen,16,0.0
88,Cornell_Hydrogen,17,0.0
89,Cornell_Hydrogen,18,0.0
90,Cornell_Hydrogen,19,0.0
91,Cornell_Hydrogen,20,0.0
92,Cornell_Hydrogen,21,0.0
93,Cornell_Hydrogen,22,0.0
94,Cornell_Hydrogen,23,0.0
95,Cornell_Hydrogen,24,0.0
96,Cornell_CEP,25,1.8264957764999998
97,Cornell_CEP,26,1.773284016
98,Cornell_CEP,27,1.7412258615
