,Node,Time,Value
0,BEBE,1,-0.00021267644820732078
1,BEBE,2,-0.00021285482223222326
2,BEBE,3,-0.00021287361317381742
3,BEBE,4,-0.000212901171679668
4,BEBE,5,-0.00021288982310731076
5,BEBE,6,-0.00021301000187518753
6,BEBE,7,-0.00021309219403190321
7,BEBE,8,-6.025853685368525e-05
8,BEBE,9,0.0
9,BEBE,10,0.0
10,BEBE,11,0.0
11,BEBE,12,0.0
12,BEBE,13,0.0
13,BEBE,14,0.0
14,BEBE,15,0.0
15,BEBE,16,0.0
16,BEBE,17,0.0
17,BEBE,18,0.0
18,BEBE,19,-0.00021357103579107916
19,BEBE,20,-0.00021385607992049208
20,BEBE,21,-0.0002139704884238424
21,BEBE,22,-0.0002139358668366837
22,BEBE,23,-0.00021413454432943297
23,BEBE,24,-0.00021428003594109414
24,CORN1,1,-0.00027752775277527757
25,CORN1,2,-0.00027752775277527757
26,CORN1,3,-0.00027752775277527757
27,CORN1,4,-0.00027752775277527757
28,CORN1,5,-0.00027752775277527757
29,CORN1,6,-0.00027752775277527757
30,CORN1,7,-0.00027752775277527757
31,CORN1,8,-0.00012465840784078397
32,CORN1,9,0.0
33,CORN1,10,0.0
34,CORN1,11,0.0
35,CORN1,12,0.0
36,CORN1,13,0.0
37,CORN1,14,0.0
38,CORN1,15,0.0
39,CORN1,16,0.0
40,CORN1,17,0.0
41,CORN1,18,0.0
42,CORN1,19,-0.00027752775277527757
43,CORN1,20,-0.00027752775277527757
44,CORN1,21,-0.00027752775277527757
45,CORN1,22,-0.00027752775277527757
46,CORN1,23,-0.00027752775277527757
47,CORN1,24,-0.00027752775277527757
48,CORN2,1,0.0
49,CORN2,2,0.0
50,CORN2,3,0.0
51,CORN2,4,0.0
52,CORN2,5,0.0
53,CORN2,6,0.0
54,CORN2,7,0.0
55,CORN2,8,0.0
56,CORN2,9,0.0
57,CORN2,10,0.0
58,CORN2,11,0.0
59,CORN2,12,0.0
60,CORN2,13,0.0
61,CORN2,14,0.0
62,CORN2,15,0.0
63,CORN2,16,0.0
64,CORN2,17,0.0
65,CORN2,18,0.0
66,CORN2,19,0.0
67,CORN2,20,0.0
68,CORN2,21,0.0
69,CORN2,22,0.0
70,CORN2,23,0.0
71,CORN2,24,0.0
