Year,Month,Day,Hour,MUSG,SNRD,HARF,GENE,CASC,LSRE
2018,1,1,0,0,0,0,0,0,0
2018,1,1,1,0,0,0,0,0,0
2018,1,1,2,0,0,0,0,0,0
2018,1,1,3,0,0,0,0,0,0
2018,1,1,4,0,0,0,0,0,0
2018,1,1,5,0,0,0,0,0,0
2018,1,1,6,0,0,0,0,0,0
2018,1,1,7,4.375,3.975,1.375,0,0,0
2018,1,1,8,340.6,117,85.85,164.775,148,9543.109
2018,1,1,9,1042.6,281.9,210.475,448.7,2163,22094.563
2018,1,1,10,957.35,336.825,291.7,390.5,4023,35532.685
2018,1,1,11,842.2125,337.925,263.125,380.575,4891,55437.813
2018,1,1,12,826.95,305.225,250,430.075,4545,55576.137
2018,1,1,13,542.225,156.25,143.8,268.125,3862,50779.32
2018,1,1,14,317.125,84.85,67.2,166.775,1952,38644.23
2018,1,1,15,81.125,27.6,26.975,38.175,1083,17893.195
2018,1,1,16,5.9,2.8,4.325,2.775,374,2545.085
2018,1,1,17,0,0,0,0,18,0
2018,1,1,18,0,0,0,0,0,0
2018,1,1,19,0,0,0,0,0,0
2018,1,1,20,0,0,0,0,0,0
2018,1,1,21,0,0,0,0,0,0
2018,1,1,22,0,0,0,0,0,0
2018,1,1,23,0,0,0,0,0,0
2018,1,2,0,0,0,0,0,0,0
2018,1,2,1,0,0,0,0,0,0
2018,1,2,2,0,0,0,0,0,0
2018,1,2,3,0,0,0,0,0,0
2018,1,2,4,0,0,0,0,0,0
2018,1,2,5,0,0,0,0,0,0
2018,1,2,6,0,0,0,0,0,0
2018,1,2,7,0,0,0,0,0,0
2018,1,2,8,40.2,3.9,7.7,24.425,7,17594.896
2018,1,2,9,397.05,138.575,51.95,136.025,312,45176.945
2018,1,2,10,696.4285714,351.225,96.65,248.55,1529,58278.128
2018,1,2,11,358.2388889,247.15,192.675,234.35,2514,54480.931
2018,1,2,12,334.1,168.325,131.95,255,2597,51048.02
2018,1,2,13,371.7,84,95.5,248.575,2568,34405.852
2018,1,2,14,261.075,82.775,81.275,257.325,1204,15402.718
2018,1,2,15,138.35,38.8,56.15,154.75,859,6446.727
2018,1,2,16,21.2,5.35,10.95,25.625,540,439.868
2018,1,2,17,0,0,0,0,82,0
2018,1,2,18,0,0,0,0,0,0
2018,1,2,19,0,0,0,0,0,0
2018,1,2,20,0,0,0,0,0,0
2018,1,2,21,0,0,0,0,0,0
2018,1,2,22,0,0,0,0,0,0
2018,1,2,23,0,0,0,0,0,0
2018,1,3,0,0,0,0,0,0,0
2018,1,3,1,0,0,0,0,0,0
2018,1,3,2,0,0,0,0,0,0
2018,1,3,3,0,0,0,0,0,0
2018,1,3,4,0,0,0,0,0,0
2018,1,3,5,0,0,0,0,0,0
2018,1,3,6,0,0,0,0,0,0
2018,1,3,7,0.95,0,0,0,0,0
2018,1,3,8,98.575,42.225,62.875,22.4,16,7990.532
2018,1,3,9,191.575,85.625,228,138.25,620,27255.376
2018,1,3,10,1109.95,372.675,381.45,268.85,1424,42155.344
2018,1,3,11,590.725,264.7,408.1,81.1,6716,37326.716
2018,1,3,12,270.45,135.475,229.6,68.325,3775,30504.471
2018,1,3,13,172.675,43.875,90.05,101.3,1239,30072.778
2018,1,3,14,158.725,4.85,46.05,158.725,671,17483.264
2018,1,3,15,57.6,0,0,52.825,178,8224.566
2018,1,3,16,2.55,0,0,4.15,5,845.026
2018,1,3,17,0,0,0,0,0,0
2018,1,3,18,0,0,0,0,0,0
2018,1,3,19,0,0,0,0,0,0
2018,1,3,20,0,0,0,0,0,0
2018,1,3,21,0,0,0,0,0,0
2018,1,3,22,0,0,0,0,0,0
2018,1,3,23,0,0,0,0,0,0
2018,1,4,0,0,0,0,0,0,0
2018,1,4,1,0,0,0,0,0,0
2018,1,4,2,0,0,0,0,0,0
2018,1,4,3,0,0,0,0,0,0
2018,1,4,4,0,0,0,0,0,0
2018,1,4,5,0,0,0,0,0,0
2018,1,4,6,0,0,0,0,0,0
2018,1,4,7,0,0,0,0,0,0
2018,1,4,8,51.85,0,0,20.725,0,24465.039
2018,1,4,9,104.975,0,0.85,108.55,56,48343.817
2018,1,4,10,190.85,0.65,3.5,206.55,256,55403.553
2018,1,4,11,272.375,0,3.6,212.175,467,61024.402
2018,1,4,12,337.675,0.9,2.4,204.3,498,69206.936
2018,1,4,13,271.825,3.025,2.675,191.6,740,68244.393
2018,1,4,14,203.625,2.625,0.35,182.35,1271,56409.619
2018,1,4,15,61.875,0,0.45,62.975,1065,33956.703
2018,1,4,16,8.475,0,0,2.75,295,5290.848
2018,1,4,17,0,0,0,0,16,0
2018,1,4,18,0,0,0,0,0,0
2018,1,4,19,0,0,0,0,0,0
2018,1,4,20,0,0,0,0,0,0
2018,1,4,21,0,0,0,0,0,0
2018,1,4,22,0,0,0,0,0,0
2018,1,4,23,0,0,0,0,0,0
2018,1,5,0,0,0,0,0,0,0
2018,1,5,1,0,0,0,0,0,0
2018,1,5,2,0,0,0,0,0,0
2018,1,5,3,0,0,0,0,0,0
2018,1,5,4,0,0,0,0,0,0
