,Node,Time,Value
0,MUSG,1,0.0
1,MUSG,2,0.0
2,MUSG,3,0.0
3,MUSG,4,0.0
4,MUSG,5,0.0
5,MUSG,6,0.0
6,MUSG,7,0.0
7,MUSG,8,4.375
8,MUSG,9,0.0
9,MUSG,10,0.0
10,MUSG,11,0.0
11,MUSG,12,0.0
12,MUSG,13,13.321323599999998
13,MUSG,14,0.0
14,MUSG,15,0.0
15,MUSG,16,0.0
16,MUSG,17,0.0
17,MUSG,18,0.0
18,MUSG,19,0.0
19,MUSG,20,0.0
20,MUSG,21,0.0
21,MUSG,22,0.0
22,MUSG,23,0.0
23,MUSG,24,0.0
24,SNRD,1,0.0
25,SNRD,2,0.0
26,SNRD,3,0.0
27,SNRD,4,0.0
28,SNRD,5,0.0
29,SNRD,6,0.0
30,SNRD,7,0.0
31,SNRD,8,3.9749999999999996
32,SNRD,9,0.0
33,SNRD,10,0.0
34,SNRD,11,12.390342972972972
35,SNRD,12,12.883284086486485
36,SNRD,13,0.0
37,SNRD,14,0.0
38,SNRD,15,0.0
39,SNRD,16,0.0
40,SNRD,17,0.0
41,SNRD,18,0.0
42,SNRD,19,0.0
43,SNRD,20,0.0
44,SNRD,21,0.0
45,SNRD,22,0.0
46,SNRD,23,0.0
47,SNRD,24,0.0
48,HARF,1,0.0
49,HARF,2,0.0
50,HARF,3,0.0
51,HARF,4,0.0
52,HARF,5,0.0
53,HARF,6,0.0
54,HARF,7,0.0
55,HARF,8,1.375
56,HARF,9,0.0
57,HARF,10,0.0
58,HARF,11,0.0
59,HARF,12,0.0
60,HARF,13,0.0
61,HARF,14,0.0
62,HARF,15,13.255385967567566
63,HARF,16,13.41418385945946
64,HARF,17,0.0
65,HARF,18,0.0
66,HARF,19,0.0
67,HARF,20,0.0
68,HARF,21,0.0
69,HARF,22,0.0
70,HARF,23,0.0
71,HARF,24,0.0
72,GENE,1,0.0
73,GENE,2,0.0
74,GENE,3,0.0
75,GENE,4,0.0
76,GENE,5,0.0
77,GENE,6,0.0
78,GENE,7,0.0
79,GENE,8,0.0
80,GENE,9,0.0
81,GENE,10,0.0
82,GENE,11,0.0
83,GENE,12,0.0
84,GENE,13,0.0
85,GENE,14,13.347157037837837
86,GENE,15,0.0
87,GENE,16,0.0
88,GENE,17,0.0
89,GENE,18,0.0
90,GENE,19,0.0
91,GENE,20,0.0
92,GENE,21,0.0
93,GENE,22,0.0
94,GENE,23,0.0
95,GENE,24,0.0
96,CASC,1,0.0
97,CASC,2,0.0
98,CASC,3,0.0
99,CASC,4,0.0
100,CASC,5,0.0
101,CASC,6,0.0
102,CASC,7,0.0
103,CASC,8,0.0
104,CASC,9,11.929146994594593
105,CASC,10,0.0
106,CASC,11,0.0
107,CASC,12,0.0
108,CASC,13,0.0
109,CASC,14,0.0
110,CASC,15,0.0
111,CASC,16,0.0
112,CASC,17,13.429661427027026
113,CASC,18,13.334228605405405
114,CASC,19,0.0
115,CASC,20,0.0
116,CASC,21,0.0
117,CASC,22,0.0
118,CASC,23,0.0
119,CASC,24,0.0
120,LSRE,1,0.0
121,LSRE,2,0.0
122,LSRE,3,0.0
123,LSRE,4,0.0
124,LSRE,5,0.0
125,LSRE,6,0.0
126,LSRE,7,0.0
127,LSRE,8,0.0
128,LSRE,9,0.0
129,LSRE,10,12.035559318918919
130,LSRE,11,0.0
131,LSRE,12,0.0
132,LSRE,13,0.0
133,LSRE,14,0.0
134,LSRE,15,0.0
135,LSRE,16,0.0
136,LSRE,17,0.0
137,LSRE,18,0.0
138,LSRE,19,0.0
139,LSRE,20,0.0
140,LSRE,21,0.0
141,LSRE,22,0.0
142,LSRE,23,0.0
143,LSRE,24,0.0
144,MUSG,25,0.0
145,MUSG,26,0.0
146,MUSG,27,0.0
147,MUSG,28,0.0
148,MUSG,29,0.0
149,MUSG,30,0.0
150,MUSG,31,0.0
151,MUSG,32,0.0
152,MUSG,33,0.0
153,MUSG,34,0.0
154,MUSG,35,0.0
155,MUSG,36,0.0
156,MUSG,37,0.0
157,MUSG,38,0.0
158,MUSG,39,0.0
159,MUSG,40,0.0
160,MUSG,41,0.0
161,MUSG,42,0.0
162,MUSG,43,0.0
163,MUSG,44,0.0
164,MUSG,45,0.0
165,MUSG,46,0.0
166,MUSG,47,0.0
167,MUSG,48,0.0
168,SNRD,25,0.0
169,SNRD,26,0.0
170,SNRD,27,0.0
171,SNRD,28,0.0
172,SNRD,29,0.0
173,SNRD,30,0.0
174,SNRD,31,0.0
175,SNRD,32,0.0
176,SNRD,33,0.0
177,SNRD,34,0.0
178,SNRD,35,0.0
179,SNRD,36,0.0
180,SNRD,37,0.0
181,SNRD,38,0.0
182,SNRD,39,0.0
183,SNRD,40,0.0
184,SNRD,41,0.0
185,SNRD,42,0.0
186,SNRD,43,0.0
187,SNRD,44,0.0
188,SNRD,45,0.0
189,SNRD,46,0.0
190,SNRD,47,0.0
191,SNRD,48,0.0
192,HARF,25,0.0
193,HARF,26,0.0
194,HARF,27,0.0
195,HARF,28,0.0
196,HARF,29,0.0
197,HARF,30,0.0
198,HARF,31,0.0
199,HARF,32,0.0
200,HARF,33,0.0
201,HARF,34,0.0
202,HARF,35,0.0
203,HARF,36,0.0
204,HARF,37,0.0
205,HARF,38,13.405590908108106
206,HARF,39,0.0
207,HARF,40,0.0
208,HARF,41,0.0
209,HARF,42,0.0
210,HARF,43,0.0
211,HARF,44,0.0
212,HARF,45,0.0
213,HARF,46,0.0
214,HARF,47,0.0
215,HARF,48,0.0
216,GENE,25,0.0
217,GENE,26,0.0
218,GENE,27,0.0
219,GENE,28,0.0
220,GENE,29,0.0
221,GENE,30,0.0
222,GENE,31,0.0
223,GENE,32,0.0
224,GENE,33,0.0
225,GENE,34,0.0
226,GENE,35,0.0
227,GENE,36,13.140669535135135
228,GENE,37,0.0
229,GENE,38,0.0
230,GENE,39,13.64356122162162
231,GENE,40,13.550028778378376
232,GENE,41,0.0
233,GENE,42,0.0
234,GENE,43,0.0
235,GENE,44,0.0
236,GENE,45,0.0
237,GENE,46,0.0
238,GENE,47,0.0
239,GENE,48,0.0
240,CASC,25,0.0
241,CASC,26,0.0
242,CASC,27,0.0
243,CASC,28,0.0
244,CASC,29,0.0
245,CASC,30,0.0
246,CASC,31,0.0
247,CASC,32,0.0
248,CASC,33,0.0
249,CASC,34,0.0
250,CASC,35,12.633095091891892
251,CASC,36,0.0
252,CASC,37,13.404230302702702
253,CASC,38,0.0
254,CASC,39,0.0
255,CASC,40,0.0
256,CASC,41,13.586238864864864
257,CASC,42,13.586984410810809
258,CASC,43,0.0
259,CASC,44,0.0
260,CASC,45,0.0
261,CASC,46,0.0
262,CASC,47,0.0
263,CASC,48,0.0
264,LSRE,25,0.0
265,LSRE,26,0.0
266,LSRE,27,0.0
267,LSRE,28,0.0
268,LSRE,29,0.0
269,LSRE,30,0.0
270,LSRE,31,0.0
271,LSRE,32,0.0
272,LSRE,33,12.022422735135134
273,LSRE,34,12.281957502702701
274,LSRE,35,0.0
275,LSRE,36,0.0
276,LSRE,37,0.0
277,LSRE,38,0.0
278,LSRE,39,0.0
279,LSRE,40,0.0
280,LSRE,41,0.0
281,LSRE,42,0.0
282,LSRE,43,0.0
283,LSRE,44,0.0
284,LSRE,45,0.0
285,LSRE,46,0.0
286,LSRE,47,0.0
287,LSRE,48,0.0
288,MUSG,49,0.0
289,MUSG,50,0.0
290,MUSG,51,0.0
291,MUSG,52,0.0
292,MUSG,53,0.0
293,MUSG,54,0.0
294,MUSG,55,0.0
295,MUSG,56,0.95
296,MUSG,57,0.0
297,MUSG,58,0.0
298,MUSG,59,0.0
299,MUSG,60,0.0
300,MUSG,61,0.0
301,MUSG,62,0.0
302,MUSG,63,0.0
303,MUSG,64,0.0
304,MUSG,65,0.0
305,MUSG,66,0.0
306,MUSG,67,0.0
307,MUSG,68,0.0
308,MUSG,69,0.0
309,MUSG,70,0.0
310,MUSG,71,0.0
311,MUSG,72,0.0
312,SNRD,49,0.0
313,SNRD,50,0.0
314,SNRD,51,0.0
315,SNRD,52,0.0
316,SNRD,53,0.0
317,SNRD,54,0.0
318,SNRD,55,0.0
319,SNRD,56,0.0
320,SNRD,57,0.0
321,SNRD,58,0.0
322,SNRD,59,0.0
323,SNRD,60,0.0
324,SNRD,61,14.945090918918917
325,SNRD,62,15.676093783783784
326,SNRD,63,0.0
327,SNRD,64,0.0
328,SNRD,65,0.0
329,SNRD,66,0.0
330,SNRD,67,0.0
331,SNRD,68,0.0
332,SNRD,69,0.0
333,SNRD,70,0.0
334,SNRD,71,0.0
335,SNRD,72,0.0
336,HARF,49,0.0
337,HARF,50,0.0
338,HARF,51,0.0
339,HARF,52,0.0
340,HARF,53,0.0
341,HARF,54,0.0
342,HARF,55,0.0
343,HARF,56,0.0
344,HARF,57,12.485911664864865
345,HARF,58,12.839710799999999
346,HARF,59,0.0
347,HARF,60,0.0
348,HARF,61,0.0
349,HARF,62,0.0
350,HARF,63,16.227825102702703
351,HARF,64,0.0
352,HARF,65,0.0
353,HARF,66,0.0
354,HARF,67,0.0
355,HARF,68,0.0
356,HARF,69,0.0
357,HARF,70,0.0
358,HARF,71,0.0
359,HARF,72,0.0
360,GENE,49,0.0
361,GENE,50,0.0
362,GENE,51,0.0
363,GENE,52,0.0
364,GENE,53,0.0
365,GENE,54,0.0
366,GENE,55,0.0
367,GENE,56,0.0
368,GENE,57,0.0
369,GENE,58,0.0
370,GENE,59,0.0
371,GENE,60,14.515193956756756
372,GENE,61,0.0
373,GENE,62,0.0
374,GENE,63,0.0
375,GENE,64,0.0
376,GENE,65,0.0
377,GENE,66,0.0
378,GENE,67,0.0
379,GENE,68,0.0
380,GENE,69,0.0
381,GENE,70,0.0
382,GENE,71,0.0
383,GENE,72,0.0
384,CASC,49,0.0
385,CASC,50,0.0
386,CASC,51,0.0
387,CASC,52,0.0
388,CASC,53,0.0
389,CASC,54,0.0
390,CASC,55,0.0
391,CASC,56,0.0
392,CASC,57,0.0
393,CASC,58,0.0
394,CASC,59,0.0
395,CASC,60,0.0
396,CASC,61,0.0
397,CASC,62,0.0
398,CASC,63,0.0
399,CASC,64,0.0
400,CASC,65,0.0
401,CASC,66,0.0
402,CASC,67,0.0
403,CASC,68,0.0
404,CASC,69,0.0
405,CASC,70,0.0
406,CASC,71,0.0
407,CASC,72,0.0
408,LSRE,49,0.0
409,LSRE,50,0.0
410,LSRE,51,0.0
411,LSRE,52,0.0
412,LSRE,53,0.0
413,LSRE,54,0.0
414,LSRE,55,0.0
415,LSRE,56,0.0
416,LSRE,57,0.0
417,LSRE,58,0.0
418,LSRE,59,13.518498162162162
419,LSRE,60,0.0
420,LSRE,61,0.0
421,LSRE,62,0.0
422,LSRE,63,0.0
423,LSRE,64,16.542321535135134
424,LSRE,65,16.432933027027026
425,LSRE,66,0.0
426,LSRE,67,0.0
427,LSRE,68,0.0
428,LSRE,69,0.0
429,LSRE,70,0.0
430,LSRE,71,0.0
431,LSRE,72,0.0
432,MUSG,73,0.0
433,MUSG,74,0.0
434,MUSG,75,0.0
435,MUSG,76,0.0
436,MUSG,77,0.0
437,MUSG,78,0.0
438,MUSG,79,0.0
439,MUSG,80,0.0
440,MUSG,81,0.0
441,MUSG,82,12.715024637837837
442,MUSG,83,13.275145783783783
443,MUSG,84,14.020048983783783
444,MUSG,85,0.0
445,MUSG,86,0.0
446,MUSG,87,0.0
447,MUSG,88,0.0
448,MUSG,89,0.0
449,MUSG,90,0.0
450,MUSG,91,0.0
451,MUSG,92,0.0
452,MUSG,93,0.0
453,MUSG,94,0.0
454,MUSG,95,0.0
455,MUSG,96,0.0
456,SNRD,73,0.0
457,SNRD,74,0.0
458,SNRD,75,0.0
459,SNRD,76,0.0
460,SNRD,77,0.0
461,SNRD,78,0.0
462,SNRD,79,0.0
463,SNRD,80,0.0
464,SNRD,81,0.0
465,SNRD,82,0.0
466,SNRD,83,0.0
467,SNRD,84,0.0
468,SNRD,85,0.0
469,SNRD,86,0.0
470,SNRD,87,0.0
471,SNRD,88,0.0
472,SNRD,89,0.0
473,SNRD,90,0.0
474,SNRD,91,0.0
475,SNRD,92,0.0
476,SNRD,93,0.0
477,SNRD,94,0.0
478,SNRD,95,0.0
479,SNRD,96,0.0
480,HARF,73,0.0
481,HARF,74,0.0
482,HARF,75,0.0
483,HARF,76,0.0
484,HARF,77,0.0
485,HARF,78,0.0
486,HARF,79,0.0
487,HARF,80,0.0
488,HARF,81,0.0
489,HARF,82,0.0
490,HARF,83,0.0
491,HARF,84,0.0
492,HARF,85,0.0
493,HARF,86,0.0
494,HARF,87,0.0
495,HARF,88,0.0
496,HARF,89,0.0
497,HARF,90,0.0
498,HARF,91,0.0
499,HARF,92,0.0
500,HARF,93,0.0
501,HARF,94,0.0
502,HARF,95,0.0
503,HARF,96,0.0
504,GENE,73,0.0
505,GENE,74,0.0
506,GENE,75,0.0
507,GENE,76,0.0
508,GENE,77,0.0
509,GENE,78,0.0
510,GENE,79,0.0
511,GENE,80,0.0
512,GENE,81,12.453796691891892
513,GENE,82,0.0
514,GENE,83,0.0
515,GENE,84,0.0
516,GENE,85,15.052380929729729
517,GENE,86,15.639281491891891
518,GENE,87,16.01943570810811
519,GENE,88,0.0
520,GENE,89,0.0
