,Node,Time,Value
0,BEBE,1,-212655.1805625
1,BEBE,2,-212833.53675
2,BEBE,3,-212852.3258125
3,BEBE,4,-212879.8815625
4,BEBE,5,-212868.534125
5,BEBE,6,-212988.70087499998
6,BEBE,7,-213070.88481249998
7,BEBE,8,-60252.510999999744
8,BEBE,9,0.0
9,BEBE,10,0.0
10,BEBE,11,0.0
11,BEBE,12,0.0
12,BEBE,13,0.0
13,BEBE,14,0.0
14,BEBE,15,0.0
15,BEBE,16,0.0
16,BEBE,17,0.0
17,BEBE,18,0.0
18,BEBE,19,-213549.6786875
19,BEBE,20,-213834.6943125
20,BEBE,21,-213949.091375
21,BEBE,22,-213914.47324999998
22,BEBE,23,-214113.130875
23,BEBE,24,-214258.6079375
24,CORN1,1,-277500.0
25,CORN1,2,-277500.0
26,CORN1,3,-277500.0
27,CORN1,4,-277500.0
28,CORN1,5,-277500.0
29,CORN1,6,-277500.0
30,CORN1,7,-277500.0
31,CORN1,8,-124645.94199999975
32,CORN1,9,0.0
33,CORN1,10,0.0
34,CORN1,11,0.0
35,CORN1,12,0.0
36,CORN1,13,0.0
37,CORN1,14,0.0
38,CORN1,15,0.0
39,CORN1,16,0.0
40,CORN1,17,0.0
41,CORN1,18,0.0
42,CORN1,19,-277500.0
43,CORN1,20,-277500.0
44,CORN1,21,-277500.0
45,CORN1,22,-277500.0
46,CORN1,23,-277500.0
47,CORN1,24,-277500.0
48,CORN2,1,0.0
49,CORN2,2,0.0
50,CORN2,3,0.0
51,CORN2,4,0.0
52,CORN2,5,0.0
53,CORN2,6,0.0
54,CORN2,7,0.0
55,CORN2,8,0.0
56,CORN2,9,0.0
57,CORN2,10,0.0
58,CORN2,11,0.0
59,CORN2,12,0.0
60,CORN2,13,0.0
61,CORN2,14,0.0
62,CORN2,15,0.0
63,CORN2,16,0.0
64,CORN2,17,0.0
65,CORN2,18,0.0
66,CORN2,19,0.0
67,CORN2,20,0.0
68,CORN2,21,0.0
69,CORN2,22,0.0
70,CORN2,23,0.0
71,CORN2,24,0.0
72,MUSG,1,-277500.0
73,MUSG,2,-277500.0
74,MUSG,3,-277500.0
75,MUSG,4,-277500.0
76,MUSG,5,-277500.0
77,MUSG,6,-277500.0
78,MUSG,7,-277500.0
79,MUSG,8,280041.55800000025
80,MUSG,9,0.0
81,MUSG,10,0.0
82,MUSG,11,0.0
83,MUSG,12,0.0
84,MUSG,13,1232222.4329999997
85,MUSG,14,0.0
86,MUSG,15,0.0
87,MUSG,16,0.0
88,MUSG,17,0.0
89,MUSG,18,0.0
90,MUSG,19,-277500.0
91,MUSG,20,-277500.0
92,MUSG,21,-277500.0
93,MUSG,22,-277500.0
94,MUSG,23,-277500.0
95,MUSG,24,-277500.0
96,SNRD,1,-277500.0
97,SNRD,2,-277500.0
98,SNRD,3,-277500.0
99,SNRD,4,-277500.0
100,SNRD,5,-277500.0
101,SNRD,6,-277500.0
102,SNRD,7,-277500.0
103,SNRD,8,243041.5580000002
104,SNRD,9,0.0
105,SNRD,10,0.0
106,SNRD,11,1146106.7249999999
107,SNRD,12,1191703.778
108,SNRD,13,0.0
109,SNRD,14,0.0
110,SNRD,15,0.0
111,SNRD,16,0.0
112,SNRD,17,0.0
113,SNRD,18,0.0
114,SNRD,19,-277500.0
115,SNRD,20,-277500.0
116,SNRD,21,-277500.0
117,SNRD,22,-277500.0
118,SNRD,23,-277500.0
119,SNRD,24,-277500.0
120,HARF,1,-277500.0
121,HARF,2,-277500.0
122,HARF,3,-277500.0
123,HARF,4,-277500.0
124,HARF,5,-277500.0
125,HARF,6,-277500.0
126,HARF,7,-277500.0
127,HARF,8,2541.558000000252
128,HARF,9,0.0
129,HARF,10,0.0
130,HARF,11,0.0
131,HARF,12,0.0
132,HARF,13,0.0
133,HARF,14,0.0
134,HARF,15,1226123.2019999998
135,HARF,16,1240812.007
136,HARF,17,0.0
137,HARF,18,0.0
138,HARF,19,-277500.0
139,HARF,20,-277500.0
140,HARF,21,-277500.0
141,HARF,22,-277500.0
142,HARF,23,-277500.0
143,HARF,24,-277500.0
144,GENE,1,-277500.0
145,GENE,2,-277500.0
146,GENE,3,-277500.0
147,GENE,4,-277500.0
148,GENE,5,-277500.0
149,GENE,6,-277500.0
150,GENE,7,-277500.0
151,GENE,8,-124645.94199999975
152,GENE,9,0.0
153,GENE,10,0.0
154,GENE,11,0.0
155,GENE,12,0.0
156,GENE,13,0.0
157,GENE,14,1234612.0259999998
158,GENE,15,0.0
159,GENE,16,0.0
160,GENE,17,0.0
161,GENE,18,0.0
162,GENE,19,-277500.0
163,GENE,20,-277500.0
164,GENE,21,-277500.0
165,GENE,22,-277500.0
166,GENE,23,-277500.0
167,GENE,24,-277500.0
168,CASC,1,-277500.0
169,CASC,2,-277500.0
170,CASC,3,-277500.0
171,CASC,4,-277500.0
172,CASC,5,-277500.0
173,CASC,6,-277500.0
174,CASC,7,-277500.0
175,CASC,8,-124645.94199999975
176,CASC,9,1103446.0969999998
177,CASC,10,0.0
178,CASC,11,0.0
179,CASC,12,0.0
180,CASC,13,0.0
181,CASC,14,0.0
182,CASC,15,0.0
183,CASC,16,0.0
184,CASC,17,1242243.682
185,CASC,18,1233416.146
186,CASC,19,-277500.0
187,CASC,20,-277500.0
188,CASC,21,-277500.0
189,CASC,22,-277500.0
190,CASC,23,-277500.0
191,CASC,24,-277500.0
192,LSRE,1,-277500.0
193,LSRE,2,-277500.0
194,LSRE,3,-277500.0
195,LSRE,4,-277500.0
196,LSRE,5,-277500.0
197,LSRE,6,-277500.0
198,LSRE,7,-277500.0
199,LSRE,8,-124645.94199999975
200,LSRE,9,0.0
201,LSRE,10,1113289.237
202,LSRE,11,0.0
203,LSRE,12,0.0
204,LSRE,13,0.0
205,LSRE,14,0.0
206,LSRE,15,0.0
207,LSRE,16,0.0
208,LSRE,17,0.0
209,LSRE,18,0.0
210,LSRE,19,-277500.0
211,LSRE,20,-277500.0
212,LSRE,21,-277500.0
213,LSRE,22,-277500.0
214,LSRE,23,-277500.0
215,LSRE,24,-277500.0
216,BEBE,25,-214206.796375
217,BEBE,26,-214394.92056250002
218,BEBE,27,-214682.5500525
219,BEBE,28,-214617.28825
220,BEBE,29,-214797.136
221,BEBE,30,-214958.1253125
222,BEBE,31,-214952.9406875
223,BEBE,32,-215203.0236875
224,BEBE,33,0.0
225,BEBE,34,0.0
226,BEBE,35,0.0
227,BEBE,36,0.0
228,BEBE,37,0.0
229,BEBE,38,0.0
230,BEBE,39,0.0
231,BEBE,40,0.0
232,BEBE,41,0.0
233,BEBE,42,0.0
234,BEBE,43,-211463.079875
235,BEBE,44,-211359.2370625
236,BEBE,45,-211552.43487499998
237,BEBE,46,-211560.824625
238,BEBE,47,-211567.41525
239,BEBE,48,-211458.898875
240,CORN1,25,-277500.0
241,CORN1,26,-277500.0
242,CORN1,27,-277500.0
243,CORN1,28,-277500.0
244,CORN1,29,-277500.0
245,CORN1,30,-277500.0
246,CORN1,31,-277500.0
247,CORN1,32,-277500.0
248,CORN1,33,0.0
249,CORN1,34,0.0
250,CORN1,35,0.0
251,CORN1,36,0.0
252,CORN1,37,0.0
253,CORN1,38,0.0
254,CORN1,39,0.0
255,CORN1,40,0.0
256,CORN1,41,0.0
257,CORN1,42,0.0
258,CORN1,43,-277500.0
259,CORN1,44,-277500.0
260,CORN1,45,-277500.0
261,CORN1,46,-277500.0
262,CORN1,47,-277500.0
263,CORN1,48,-277500.0
